"","cluster_name","size","taxa","Pfam_IDs","aa_file","na_file","taxids","Percentage_prevalence"
"79","343_hypothetical_protein",1,1,"","343_hypothetical_protein.faa","343_hypothetical_protein.fna","1655647",1.75438596491228
"80","344_DNA_pilot_protein_VP..",10,10,"","344_DNA_pilot_protein_VP...faa","344_DNA_pilot_protein_VP...fna","1655647_1655648_1655651_1655652_1655653_1655654_1655657_1655658_1655660_1655661",17.5438596491228
"81","346_hypothetical_protein",1,1,"","346_hypothetical_protein.faa","346_hypothetical_protein.fna","1655647",1.75438596491228
"82","349_hypothetical_protein",5,5,"","349_hypothetical_protein.faa","349_hypothetical_protein.fna","1655648_1655651_1655652_1655653_1655658",8.7719298245614
"83","350_hypothetical_protein",5,5,"","350_hypothetical_protein.faa","350_hypothetical_protein.fna","1655648_1655653_1655657_1655658_1655660",8.7719298245614
"84","359_hypothetical_protein",1,1,"","359_hypothetical_protein.faa","359_hypothetical_protein.fna","1655652",1.75438596491228
"85","369_hypothetical_protein",1,1,"","369_hypothetical_protein.faa","369_hypothetical_protein.fna","1655654",1.75438596491228
"86","371_hypothetical_protein",1,1,"","371_hypothetical_protein.faa","371_hypothetical_protein.fna","1655654",1.75438596491228
"87","374_hypothetical_protein",1,1,"","374_hypothetical_protein.faa","374_hypothetical_protein.fna","1655657",1.75438596491228
"88","384_hypothetical_protein",1,1,"","384_hypothetical_protein.faa","384_hypothetical_protein.fna","1655660",1.75438596491228
"89","391_hypothetical_protein",1,1,"","391_hypothetical_protein.faa","391_hypothetical_protein.fna","1655661",1.75438596491228
"90","393_hypothetical_protein",1,1,"","393_hypothetical_protein.faa","393_hypothetical_protein.fna","1655662",1.75438596491228
"91","394_hypothetical_protein",1,1,"","394_hypothetical_protein.faa","394_hypothetical_protein.fna","1655662",1.75438596491228
"92","395_DNA_pilot_protein_VP..",1,1,"","395_DNA_pilot_protein_VP...faa","395_DNA_pilot_protein_VP...fna","1655662",1.75438596491228
"93","397_M16p1",1,1,"","397_M16p1.faa","397_M16p1.fna","1544364",1.75438596491228
"94","398_replication_initiato..",1,1,"","398_replication_initiato...faa","398_replication_initiato...fna","1544364",1.75438596491228
"95","399_M16p3",1,1,"","399_M16p3.faa","399_M16p3.fna","1544364",1.75438596491228
"96","400_M16p4",1,1,"","400_M16p4.faa","400_M16p4.fna","1544364",1.75438596491228
"97","401_M16p5",1,1,"","401_M16p5.faa","401_M16p5.fna","1544364",1.75438596491228
"98","402_M16p6",1,1,"","402_M16p6.faa","402_M16p6.fna","1544364",1.75438596491228
"99","403_major_capsid_protein",1,1,"","403_major_capsid_protein.faa","403_major_capsid_protein.fna","1544364",1.75438596491228
"100","404_p10",1,1,"","404_p10.faa","404_p10.fna","913970",1.75438596491228
