source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435_intersection	1_AV2.faa	2_AV1.faa	3_AC3.faa	4_AC2.faa	6_AC4.faa	55_V4.faa	56_V2.faa	57_V3.faa	61_C3.faa	81_AC5.faa	172_AC1.faa	214_C5.faa	234_AC5.faa	354_AV3_protein.faa	404_C2.faa	431_movement_protein.faa	432_capsid_protein.faa	564_V1.faa	565_V2.faa	566_rep.faa	753_CP.faa	795_c1.faa	863_truncated_V2.faa	880_AC4.faa	1114_V1.faa
Sida-golden-yellow-spot-virus_taxid_1949198.gbk	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
Sida-leaf-curl-virus_taxid_337823.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sida-mottle-virus_taxid_191460.gbk	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sida-yellow-leaf-curl-virus_taxid_536083.gbk	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sida-yellow-mosaic-Alagoas-virus_taxid_1266994.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sida-yellow-mosaic-China-virus--Hainan-8_taxid_290090.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sida-yellow-net-virus_taxid_1266977.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sida-yellow-vein-Madurai-virus_taxid_420255.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Sida-yellow-vein-Vietnam-virus_taxid_390441.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Siegesbeckia-yellow-vein-Guangxi-virus_taxid_379728.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Siegesbeckia-yellow-vein-virus_taxid_371401.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Soybean-crinkle-leaf-virus_taxid_85753.gbk	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
Soybean-mild-mottle-virus_taxid_761701.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Spilanthes-yellow-vein-virus_taxid_390439.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Spinach-yellow-vein-Sikar-virus_taxid_1432565.gbk	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Squash-leaf-curl-China-virus--B_taxid_269275.gbk	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Squash-leaf-curl-Yunnan-virus_taxid_222474.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Stachytarpheta-leaf-curl-virus_taxid_202568.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sugarcane-striate-virus_taxid_1868659.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0
Sweet-potato-golden-vein-Korea-virus_taxid_2169736.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Sweet-potato-golden-vein-associated-virus_taxid_688540.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sweet-potato-leaf-curl-Bengal-virus_taxid_693892.gbk	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
Sweet-potato-leaf-curl-Canary-virus_taxid_652718.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sweet-potato-leaf-curl-China-virus_taxid_1198219.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sweet-potato-leaf-curl-Georgia-virus_taxid_225752.gbk	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Sweet-potato-leaf-curl-Guangxi-virus_taxid_1489312.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sweet-potato-leaf-curl-Henan-virus_taxid_1489311.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sweet-potato-leaf-curl-Lanzarote-virus_taxid_574890.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sweet-potato-leaf-curl-Sao-Paulo-virus_taxid_994388.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sweet-potato-leaf-curl-Shanghai-virus_taxid_1392388.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sweet-potato-leaf-curl-Sichuan-virus-1_taxid_2026196.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sweet-potato-leaf-curl-Sichuan-virus-2_taxid_2026195.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
